Wavelength_nm,Amplitude_V
1540.0,0.4603642
1540.002,0.4556189
1540.004,0.20134751
1540.006,0.1183277
1540.008,0.25189975
1540.01,0.17856815
1540.012,0.29789424
1540.014,0.58967304
1540.016,0.19053568
1540.018,0.25943696
1540.02,0.46255717
1540.022,0.3545914
1540.024,0.121964075
1540.026,0.180845
1540.028,0.56762475
1540.03,0.1515825
1540.032,0.4175464
1540.034,0.49616283
1540.036,0.23271953
1540.038,0.462539
1540.04,0.1849476
1540.042,0.24237514
1540.044,0.25591102
1540.046,0.5982175
1540.048,0.20728615
1540.05,0.16460373
1540.052,0.5628457
1540.054,0.18096535
1540.056,0.53963995
1540.058,0.42522833
1540.06,0.38843074
1540.062,0.47566935
1540.064,0.4629995
1540.066,0.1552631
1540.068,0.59973305
1540.07,0.57094485
1540.072,0.548296
1540.074,0.41114455
1540.076,0.36139566
1540.078,0.3681393
1540.08,0.10746847
1540.082,0.34973475
1540.084,0.41188478
1540.086,0.42935312
1540.088,0.26606974
1540.09,0.33564118
1540.092,0.4181553
1540.094,0.31415275
1540.096,0.5810676
1540.098,0.45272106
1540.1,0.10063687
1540.102,0.11163974
1540.104,0.4451501
1540.106,0.30632254
1540.108,0.51973546
1540.11,0.1865077
1540.112,0.106913455
1540.114,0.2940412
1540.116,0.46803206
1540.118,0.5858639
1540.12,0.54182696
1540.122,0.34203732
1540.124,0.50640863
1540.126,0.13516523
1540.128,0.38613617
1540.13,0.5621492
1540.132,0.29819256
1540.134,0.5800503
1540.136,0.21034254
1540.138,0.1528169
1540.14,0.36238116
1540.142,0.55362344
1540.144,0.2556396
1540.146,0.50008017
1540.148,0.18459864
1540.15,0.4727852
1540.152,0.3785135
1540.154,0.1875085
1540.156,0.45904362
1540.158,0.45687807
1540.16,0.3577176
1540.162,0.21273382
1540.164,0.16614695
1540.166,0.5786275
1540.168,0.42790627
1540.17,0.50462073
1540.172,0.44848526
1540.174,0.51473683
1540.176,0.18124542
1540.178,0.3484751
1540.18,0.4335624
1540.182,0.15169495
1540.184,0.17497848
1540.186,0.4169913
1540.188,0.5343529
1540.19,0.4302081
1540.192,0.11810241
1540.194,0.58521646
1540.196,0.16975345
1540.198,0.21628112
1540.2,0.58748364
1540.202,0.4855165
1540.204,0.5682883
1540.206,0.50330985
1540.208,0.42586723
1540.21,0.2422765
1540.212,0.26344073
1540.214,0.5736355
1540.216,0.53031284
1540.218,0.27974522
1540.22,0.2866337
1540.222,0.2488472
1540.224,0.26306507
1540.226,0.53033376
1540.228,0.10525343
1540.23,0.3180263
1540.232,0.57141984
1540.234,0.3713182
1540.236,0.3252229
1540.238,0.2561849
1540.24,0.13695632
1540.242,0.21224324
1540.244,0.1452292
1540.246,0.16334972
1540.248,0.18175827
1540.25,0.2510147
1540.252,0.10550834
1540.254,0.57507193
1540.256,0.16190955
1540.258,0.29157445
1540.26,0.5397638
1540.262,0.15328398
1540.264,0.34180212
1540.266,0.5223918
1540.268,0.3784813
1540.27,0.2051718
1540.272,0.46775475
1540.274,0.44067052
1540.276,0.28109294
1540.278,0.123147584
1540.28,0.10393234
1540.282,0.51269644
1540.284,0.2607787
1540.286,0.16888495
1540.288,0.3592756
1540.29,0.56041664
1540.292,0.10424043
1540.294,0.12807177
1540.296,0.30852246
1540.298,0.43798295
1540.3,0.33805022
1540.302,0.54877424
1540.304,0.122042276
1540.306,0.27007043
1540.308,0.27567396
1540.31,0.2700636
1540.312,0.34384295
1540.314,0.49528852
1540.316,0.25894132
1540.318,0.4722416
1540.32,0.17323273
1540.322,0.38036242
1540.324,0.287544
1540.326,0.3696054
1540.328,0.15387487
1540.33,0.57673144
1540.332,0.5531071
1540.334,0.51319814
1540.336,0.5463914
1540.338,0.17334394
1540.34,0.35186088
1540.342,0.25895458
1540.344,0.54369295
1540.346,0.19471884
1540.348,0.20997268
1540.35,0.44335723
1540.352,0.14444983
1540.354,0.4661836
1540.356,0.23406364
1540.358,0.4304677
1540.36,0.5365189
1540.362,0.4048057
1540.364,0.20634186
1540.366,0.12458276
1540.368,0.12230699
1540.37,0.14440595
1540.372,0.38990897
1540.374,0.27410892
1540.376,0.22155349
1540.378,0.20965327
1540.38,0.57429075
1540.382,0.15940829
1540.384,0.2524072
1540.386,0.33573863
1540.388,0.10022476
1540.39,0.5604766
1540.392,0.14954929
1540.394,0.4412353
1540.396,0.41443273
1540.398,0.5045319
1540.4,0.42569387
1540.402,0.4846937
1540.404,0.3106243
1540.406,0.34435225
1540.408,0.45083106
1540.41,0.38421336
1540.412,0.35576928
1540.414,0.2027792
1540.416,0.22905412
1540.418,0.27924863
1540.42,0.10464219
1540.422,0.30868173
1540.424,0.10138424
1540.426,0.3825077
1540.428,0.4520144
1540.43,0.3810743
1540.432,0.44676
1540.434,0.10000659
1540.436,0.12972099
1540.438,0.4492312
1540.44,0.50145006
1540.442,0.45885077
1540.444,0.43150613
1540.446,0.45369133
1540.448,0.46979496
1540.45,0.46218875
1540.452,0.46900424
1540.454,0.13700986
1540.456,0.13163577
1540.458,0.28055996
1540.46,0.36379835
1540.462,0.48130953
1540.464,0.26735392
1540.466,0.23755854
1540.468,0.49072415
1540.47,0.22466843
1540.472,0.5104207
1540.474,0.18856677
1540.476,0.27973676
1540.478,0.3005378
1540.48,0.24975522
1540.482,0.10167845
1540.484,0.21775463
1540.486,0.26882678
1540.488,0.25681245
1540.49,0.49277773
1540.492,0.123683885
1540.494,0.29447436
1540.496,0.118757725
1540.498,0.56532377
1540.5,0.49510473
1540.502,0.5910808
1540.504,0.5550803
1540.506,0.25790638
1540.508,0.4457917
1540.51,0.25327703
1540.512,0.5441056
1540.514,0.30537644
1540.516,0.28794378
1540.518,0.5570344
1540.52,0.51837015
1540.522,0.5832068
1540.524,0.13324404
1540.526,0.22166944
1540.528,0.2504289
1540.53,0.31217602
1540.532,0.33656502
1540.534,0.24573621
1540.536,0.49522522
1540.538,0.21162207
1540.54,0.44825867
1540.542,0.52588415
1540.544,0.40184912
1540.546,0.27707946
1540.548,0.19394562
1540.55,0.1671731
1540.552,0.47208738
1540.554,0.334566
1540.556,0.12315977
1540.558,0.5919198
1540.56,0.4356516
1540.562,0.52209127
1540.564,0.31909433
1540.566,0.57771933
1540.568,0.19976251
1540.57,0.19256806
1540.572,0.5451674
1540.574,0.5458585
1540.576,0.34950975
1540.578,0.16289318
1540.58,0.25260824
1540.582,0.47707617
1540.584,0.52299595
1540.586,0.27382737
1540.588,0.13061684
1540.59,0.43286335
1540.592,0.46974853
1540.594,0.31200734
1540.596,0.3915488
1540.598,0.59368575
1540.6,0.2224993
1540.602,0.38648885
1540.604,0.4054802
1540.606,0.3745536
1540.608,0.5345648
1540.61,0.40250376
1540.612,0.35394502
1540.614,0.16150752
1540.616,0.4516046
1540.618,0.16605368
1540.62,0.113284945
1540.622,0.34426558
1540.624,0.38622263
1540.626,0.599527
1540.628,0.4561634
1540.63,0.52429515
1540.632,0.27319402
1540.634,0.35445735
1540.636,0.5871345
1540.638,0.30869427
1540.64,0.50364524
1540.642,0.36299455
1540.644,0.21198092
1540.646,0.39020932
1540.648,0.20903102
1540.65,0.1015135
1540.652,0.217948
1540.654,0.19657192
1540.656,0.2854606
1540.658,0.54429847
1540.66,0.29392654
1540.662,0.5225938
1540.664,0.3778065
1540.666,0.10380735
1540.668,0.19436836
1540.67,0.565639
1540.672,0.40208673
1540.674,0.56477344
1540.676,0.25506002
1540.678,0.4582812
1540.68,0.48601258
1540.682,0.5878498
1540.684,0.10908824
1540.686,0.5761186
1540.688,0.2957951
1540.69,0.5189962
1540.692,0.37235644
1540.694,0.38232478
1540.696,0.27968895
1540.698,0.5142363
1540.7,0.23200679
1540.702,0.3461207
1540.704,0.38008726
1540.706,0.47126055
1540.708,0.33581766
1540.71,0.44014144
1540.712,0.34264705
1540.714,0.42966032
1540.716,0.43707174
1540.718,0.4547208
1540.72,0.5116499
1540.722,0.37036127
1540.724,0.19663908
1540.726,0.4398204
1540.728,0.13855904
1540.73,0.20947751
1540.732,0.49607876
1540.734,0.31753507
1540.736,0.3490221
1540.738,0.59369844
1540.74,0.21758625
1540.742,0.10977638
1540.744,0.1556863
1540.746,0.22225092
1540.748,0.46296
1540.75,0.48791102
1540.752,0.3827445
1540.754,0.2275232
1540.756,0.36087096
1540.758,0.107478775
1540.76,0.44090047
1540.762,0.40714878
1540.764,0.11089827
1540.766,0.5085058
1540.768,0.48171327
1540.77,0.2541119
1540.772,0.41768834
1540.774,0.4007465
1540.776,0.17159013
1540.778,0.19662964
1540.78,0.44160306
1540.782,0.5667758
1540.784,0.38814217
1540.786,0.38390657
1540.788,0.42334086
1540.79,0.32028916
1540.792,0.12708603
1540.794,0.29825193
1540.796,0.5501261
1540.798,0.5024734
1540.8,0.56371176
1540.802,0.17641579
1540.804,0.3529789
1540.806,0.39236408
1540.808,0.20496276
1540.81,0.20048513
1540.812,0.49101648
1540.814,0.43592596
1540.816,0.42359376
1540.818,0.23349373
1540.82,0.3533847
1540.822,0.111534975
1540.824,0.16497302
1540.826,0.35912544
1540.828,0.25483614
1540.83,0.5828349
1540.832,0.33574235
1540.834,0.14178208
1540.836,0.10892117
1540.838,0.46262893
1540.84,0.18575338
1540.842,0.19390619
1540.844,0.31190363
1540.846,0.23203029
1540.848,0.40828854
1540.85,0.34284624
1540.852,0.1557253
1540.854,0.49237043
1540.856,0.31292942
1540.858,0.40541717
1540.86,0.101971164
1540.862,0.41320002
1540.864,0.24142493
1540.866,0.34718537
1540.868,0.2488603
1540.87,0.59813035
1540.872,0.21542116
1540.874,0.5564298
1540.876,0.5589833
1540.878,0.31050032
1540.88,0.25200155
1540.882,0.29051778
1540.884,0.5946695
1540.886,0.4093981
1540.888,0.37239012
1540.89,0.11795894
1540.892,0.5239215
1540.894,0.14190273
1540.896,0.12348618
1540.898,0.23742904
1540.9,0.3378943
1540.902,0.5476445
1540.904,0.4950394
1540.906,0.19881608
1540.908,0.28603977
1540.91,0.49012014
1540.912,0.36354622
1540.914,0.18724597
1540.916,0.2980276
1540.918,0.4129679
1540.92,0.5866128
1540.922,0.43090603
1540.924,0.10809758
1540.926,0.45250413
1540.928,0.22543241
1540.93,0.5310795
1540.932,0.29194495
1540.934,0.19980752
1540.936,0.3339736
1540.938,0.22759898
1540.94,0.21791074
1540.942,0.3866309
1540.944,0.48367313
1540.946,0.5174772
1540.948,0.29883495
1540.95,0.13340189
1540.952,0.3419875
1540.954,0.31689075
1540.956,0.19848947
1540.958,0.54807246
1540.96,0.5870741
1540.962,0.1258736
1540.964,0.4978732
1540.966,0.42285827
1540.968,0.23071814
1540.97,0.41757807
1540.972,0.1643216
1540.974,0.13470325
1540.976,0.59674454
1540.978,0.41818494
1540.98,0.22661132
1540.982,0.32501698
1540.984,0.5750441
1540.986,0.31936252
1540.988,0.5502223
1540.99,0.5344046
1540.992,0.27207816
1540.994,0.4480045
1540.996,0.43024924
1540.998,0.48560593
1541.0,0.2829646
1541.002,0.12611824
1541.004,0.18551962
1541.006,0.40827686
1541.008,0.48755008
1541.01,0.4780243
1541.012,0.3918408
1541.014,0.14237908
1541.016,0.108644314
1541.018,0.49107087
1541.02,0.3746882
1541.022,0.49135605
1541.024,0.18139423
1541.026,0.3037116
1541.028,0.5595846
1541.03,0.185799
1541.032,0.13076346
1541.034,0.4267337
1541.036,0.39726818
1541.038,0.57601523
1541.04,0.5532342
1541.042,0.4747152
1541.044,0.10957862
1541.046,0.34019348
1541.048,0.54805094
1541.05,0.31682554
1541.052,0.58107287
1541.054,0.426244
1541.056,0.15472856
1541.058,0.35463604
1541.06,0.44780856
1541.062,0.13268448
1541.064,0.27232477
1541.066,0.45854053
1541.068,0.17853568
1541.07,0.27416995
1541.072,0.44495517
1541.074,0.48777044
1541.076,0.3592559
1541.078,0.57842875
1541.08,0.5626654
1541.082,0.33671853
1541.084,0.1801372
1541.086,0.48646578
1541.088,0.22156979
1541.09,0.52141064
1541.092,0.39357218
1541.094,0.2970465
1541.096,0.37819168
1541.098,0.36640438
1541.1,0.5623664
1541.102,0.20718153
1541.104,0.5640792
1541.106,0.11567052
1541.108,0.48460165
1541.11,0.55983406
1541.112,0.2970261
1541.114,0.13653359
1541.116,0.50233376
1541.118,0.5214324
1541.12,0.2681287
1541.122,0.35929665
1541.124,0.5047345
1541.126,0.19602148
1541.128,0.41448787
1541.13,0.31531534
1541.132,0.18720788
1541.134,0.5157201
1541.136,0.26234043
1541.138,0.56721306
1541.14,0.38446695
1541.142,0.35725498
1541.144,0.31165296
1541.146,0.30033544
1541.148,0.50898314
1541.15,0.43875042
1541.152,0.48684508
1541.154,0.31054208
1541.156,0.23071861
1541.158,0.1434326
1541.16,0.488328
1541.162,0.30763823
1541.164,0.35461178
1541.166,0.33467162
1541.168,0.31556892
1541.17,0.44194978
1541.172,0.40436706
1541.174,0.5860269
1541.176,0.16945195
1541.178,0.38675967
1541.18,0.13162008
1541.182,0.50395924
1541.184,0.40815568
1541.186,0.3141894
1541.188,0.5011178
1541.19,0.3275013
1541.192,0.21389304
1541.194,0.3362504
1541.196,0.1354159
1541.198,0.5489305
1541.2,0.4654792
1541.202,0.48015788
1541.204,0.53724664
1541.206,0.4957863
1541.208,0.31592628
1541.21,0.1593182
1541.212,0.2866824
1541.214,0.56704235
1541.216,0.57454526
1541.218,0.48393545
1541.22,0.20221528
1541.222,0.19722493
1541.224,0.53988576
1541.226,0.17095797
1541.228,0.39206874
1541.23,0.28912583
1541.232,0.2510055
1541.234,0.43869102
1541.236,0.5797845
1541.238,0.48881686
1541.24,0.3430813
1541.242,0.32035574
1541.244,0.5538321
1541.246,0.38905355
1541.248,0.3483195
1541.25,0.44141793
1541.252,0.21857691
1541.254,0.13186774
1541.256,0.5275557
1541.258,0.40363085
1541.26,0.18243855
1541.262,0.24902396
1541.264,0.59496677
1541.266,0.41721183
1541.268,0.41805607
1541.27,0.13608183
1541.272,0.58449584
1541.274,0.5463914
